stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
10049,10049,Westbound Jubilee at Riverdale,49.85532090632452,-97.14340028869884,http://www.winnipegtransit.com/stops/10049
10050,10050,Eastbound Jubilee at Riverdale,49.85544147094654,-97.14250523719167,http://www.winnipegtransit.com/stops/10050
10051,10051,Westbound Jubilee at Lilac,49.85477099142812,-97.14500742201072,http://www.winnipegtransit.com/stops/10051
10052,10052,Eastbound Jubilee at Lilac,49.85465122999685,-97.14483114215783,http://www.winnipegtransit.com/stops/10052
10053,10053,Eastbound Jubilee at Riverside,49.854196171381076,-97.14618418007231,http://www.winnipegtransit.com/stops/10053
10054,10054,Westbound Jubilee at Riverside,49.85426444286292,-97.14651547081625,http://www.winnipegtransit.com/stops/10054
10055,10055,Westbound Jubilee at Riverside West,49.85367265029825,-97.14831890819741,http://www.winnipegtransit.com/stops/10055
10056,10056,Eastbound Jubilee at Riverside West,49.853294772790775,-97.14887593322446,http://www.winnipegtransit.com/stops/10056
10057,10057,Northbound Osborne at Wavell,49.85808421877715,-97.128434489488,http://www.winnipegtransit.com/stops/10057
10058,10058,Northbound Osborne at Balfour,49.860128650723894,-97.13026175549767,http://www.winnipegtransit.com/stops/10058
10059,10059,Northbound Osborne at Baltimore,49.86177820225123,-97.13158955493624,http://www.winnipegtransit.com/stops/10059
10060,10060,Northbound Osborne at Maplewood,49.86331874363638,-97.13285206958416,http://www.winnipegtransit.com/stops/10060
10061,10061,Northbound Osborne at Morley,49.865086474915884,-97.13425898259815,http://www.winnipegtransit.com/stops/10061
10062,10062,Northbound Osborne at Hethrington,49.86663575367936,-97.13550741262755,http://www.winnipegtransit.com/stops/10062
10063,10063,Northbound Osborne at Brandon,49.868185019459986,-97.13675592156139,http://www.winnipegtransit.com/stops/10063
10064,10064,Northbound Osborne at Glasgow,49.86910549368015,-97.13749984727306,http://www.winnipegtransit.com/stops/10064
10065,10065,Northbound Osborne at Mulvey,49.87193947531293,-97.13977075612964,http://www.winnipegtransit.com/stops/10065
10066,10066,Northbound Osborne at Osborne Junction,49.875128246779894,-97.14229276290868,http://www.winnipegtransit.com/stops/10066
10067,10067,Southbound Osborne at Osborne Junction,49.87466012253285,-97.14226897185502,http://www.winnipegtransit.com/stops/10067
10068,10068,Southbound Pembina at Osborne Junction,49.87456972006579,-97.142801343363,http://www.winnipegtransit.com/stops/10068
10069,10069,Northbound Pembina at Osborne,49.874451354521284,-97.14215171742349,http://www.winnipegtransit.com/stops/10069
10070,10070,Southbound Pembina at Warsaw,49.8718722879166,-97.14399040241452,http://www.winnipegtransit.com/stops/10070
10071,10071,Northbound Pembina at Nassau,49.87144509636708,-97.1437145100293,http://www.winnipegtransit.com/stops/10071
10072,10072,Southbound Pembina at Fleet,49.869597348869625,-97.14516313949727,http://www.winnipegtransit.com/stops/10072
10073,10073,Northbound Pembina at Daly,49.868433835110814,-97.14552779552844,http://www.winnipegtransit.com/stops/10073
10074,10074,Southbound Pembina at Dudley,49.86791704195519,-97.14639649868454,http://www.winnipegtransit.com/stops/10074
10075,10075,Southbound Pembina at Scotland,49.8661469101949,-97.14707656452673,http://www.winnipegtransit.com/stops/10075
10076,10076,Northbound Pembina at Hugo,49.86678435958259,-97.14643985784086,http://www.winnipegtransit.com/stops/10076
10077,10077,Northbound Pembina at Grant,49.8643694281962,-97.14729764710935,http://www.winnipegtransit.com/stops/10077
10078,10078,Southbound Pembina at Grant,49.8642333855791,-97.1477898943185,http://www.winnipegtransit.com/stops/10078
10079,10079,Southbound Pembina at Arbuthnot,49.86256791196633,-97.14882764298223,http://www.winnipegtransit.com/stops/10079
10080,10080,Northbound Pembina at Arbuthnot,49.862669335867096,-97.14842022972167,http://www.winnipegtransit.com/stops/10080
