service_id,date,exception_type
4983-exception,20131205,2
4983-exception,20131206,2
4983-exception,20131207,2
4983-exception,20131208,2
4983-exception,20131209,2
4983-exception,20131210,2
4983-exception,20131211,2
4983-exception,20131212,2
4983-exception,20131213,2
4983-exception,20131214,2
4983-exception,20131215,2
4983-exception,20131216,2
4983-exception,20131217,2
4983-exception,20131218,2
4983-exception,20131219,2
4983-exception,20131220,2
4983-exception,20131221,2
4983-exception,20131222,2
4983-exception,20131223,2
4983-exception,20131224,2
4983-exception,20131225,2
4983-exception,20131226,2
4983-exception,20131227,2
4983-exception,20131228,2
4983-exception,20131229,2
4983-exception,20131230,2
4983-exception,20131231,2
4983-exception,20140101,2
4983-exception,20140102,2
4983-exception,20140103,2
7361-exception,20131205,2
7361-exception,20131206,2
7361-exception,20131207,2
7361-exception,20131208,2
7361-exception,20131209,2
7361-exception,20131210,2
7361-exception,20131211,2
7361-exception,20131212,2
7361-exception,20131213,2
7361-exception,20131214,2
7361-exception,20131215,2
7361-exception,20131216,2
7361-exception,20131217,2
7361-exception,20131218,2
7361-exception,20131219,2
7361-exception,20131220,2
7361-exception,20131221,2
7361-exception,20131222,2
7361-exception,20131223,2
7361-exception,20131224,2
7361-exception,20131225,2
7361-exception,20131226,2
7361-exception,20131227,2
7361-exception,20131228,2
7361-exception,20131229,2
7361-exception,20131230,2
7361-exception,20131231,2
7361-exception,20140101,2
7361-exception,20140102,2
7361-exception,20140103,2
5662-exception,20131205,2
5662-exception,20131206,2
5662-exception,20131207,2
5662-exception,20131208,2
5662-exception,20131209,2
5662-exception,20131210,2
5662-exception,20131211,2
5662-exception,20131212,2
5662-exception,20131213,2
5662-exception,20131214,2
5662-exception,20131215,2
5662-exception,20131216,2
5662-exception,20131217,2
5662-exception,20131218,2
5662-exception,20131219,2
5662-exception,20131220,2
5662-exception,20131221,2
5662-exception,20131222,2
5662-exception,20131223,2
5662-exception,20131224,2
5662-exception,20131225,2
5662-exception,20131226,2
5662-exception,20131227,2
5662-exception,20131228,2
5662-exception,20131229,2
5662-exception,20131230,2
5662-exception,20131231,2
5662-exception,20140101,2
5662-exception,20140102,2
5662-exception,20140103,2
4311-exception,20131205,2
4311-exception,20131206,2
4311-exception,20131207,2
4311-exception,20131208,2
4311-exception,20131209,2
4311-exception,20131210,2
4311-exception,20131211,2
4311-exception,20131212,2
4311-exception,20131213,2
4311-exception,20131214,2
4311-exception,20131215,2
4311-exception,20131216,2
4311-exception,20131217,2
4311-exception,20131218,2
4311-exception,20131219,2
4311-exception,20131220,2
4311-exception,20131221,2
4311-exception,20131222,2
4311-exception,20131223,2
4311-exception,20131224,2
4311-exception,20131225,2
4311-exception,20131226,2
4311-exception,20131227,2
4311-exception,20131228,2
4311-exception,20131229,2
4311-exception,20131230,2
4311-exception,20131231,2
4311-exception,20140101,2
4311-exception,20140102,2
4311-exception,20140103,2
2777-exception,20131205,2
2777-exception,20131206,2
2777-exception,20131207,2
2777-exception,20131208,2
2777-exception,20131209,2
2777-exception,20131210,2
2777-exception,20131211,2
2777-exception,20131212,2
2777-exception,20131213,2
2777-exception,20131214,2
2777-exception,20131215,2
2777-exception,20131216,2
2777-exception,20131217,2
2777-exception,20131218,2
2777-exception,20131219,2
2777-exception,20131220,2
2777-exception,20131221,2
2777-exception,20131222,2
2777-exception,20131223,2
2777-exception,20131224,2
2777-exception,20131225,2
2777-exception,20131226,2
2777-exception,20131227,2
2777-exception,20131228,2
2777-exception,20131229,2
2777-exception,20131230,2
2777-exception,20131231,2
2777-exception,20140101,2
2777-exception,20140102,2
2777-exception,20140103,2
4383-exception,20131205,2
4383-exception,20131206,2
4383-exception,20131207,2
4383-exception,20131208,2
4383-exception,20131209,2
4383-exception,20131210,2
4383-exception,20131211,2
4383-exception,20131212,2
4383-exception,20131213,2
4383-exception,20131214,2
4383-exception,20131215,2
4383-exception,20131216,2
4383-exception,20131217,2
4383-exception,20131218,2
4383-exception,20131219,2
4383-exception,20131220,2
4383-exception,20131221,2
4383-exception,20131222,2
4383-exception,20131223,2
4383-exception,20131224,2
4383-exception,20131225,2
4383-exception,20131226,2
4383-exception,20131227,2
4383-exception,20131228,2
4383-exception,20131229,2
4383-exception,20131230,2
4383-exception,20131231,2
4383-exception,20140101,2
4383-exception,20140102,2
4383-exception,20140103,2
245-exception,20131205,2
245-exception,20131206,2
245-exception,20131207,2
245-exception,20131208,2
245-exception,20131209,2
245-exception,20131210,2
245-exception,20131211,2
245-exception,20131212,2
245-exception,20131213,2
245-exception,20131214,2
245-exception,20131215,2
245-exception,20131216,2
245-exception,20131217,2
245-exception,20131218,2
245-exception,20131219,2
245-exception,20131220,2
245-exception,20131221,2
245-exception,20131222,2
245-exception,20131223,2
245-exception,20131224,2
245-exception,20131225,2
245-exception,20131226,2
245-exception,20131227,2
245-exception,20131228,2
245-exception,20131229,2
245-exception,20131230,2
245-exception,20131231,2
245-exception,20140101,2
245-exception,20140102,2
245-exception,20140103,2
2814-exception,20131205,2
2814-exception,20131206,2
2814-exception,20131207,2
2814-exception,20131208,2
2814-exception,20131209,2
2814-exception,20131210,2
2814-exception,20131211,2
2814-exception,20131212,2
2814-exception,20131213,2
2814-exception,20131214,2
2814-exception,20131215,2
2814-exception,20131216,2
2814-exception,20131217,2
2814-exception,20131218,2
2814-exception,20131219,2
2814-exception,20131220,2
2814-exception,20131221,2
2814-exception,20131222,2
2814-exception,20131223,2
2814-exception,20131224,2
2814-exception,20131225,2
2814-exception,20131226,2
2814-exception,20131227,2
2814-exception,20131228,2
2814-exception,20131229,2
2814-exception,20131230,2
2814-exception,20131231,2
2814-exception,20140101,2
2814-exception,20140102,2
2814-exception,20140103,2
240-exception,20131205,2
240-exception,20131206,2
240-exception,20131207,2
240-exception,20131208,2
240-exception,20131209,2
240-exception,20131210,2
240-exception,20131211,2
240-exception,20131212,2
240-exception,20131213,2
240-exception,20131214,2
240-exception,20131215,2
240-exception,20131216,2
240-exception,20131217,2
240-exception,20131218,2
240-exception,20131219,2
240-exception,20131220,2
240-exception,20131221,2
240-exception,20131222,2
240-exception,20131223,2
240-exception,20131224,2
240-exception,20131225,2
240-exception,20131226,2
240-exception,20131227,2
240-exception,20131228,2
240-exception,20131229,2
240-exception,20131230,2
240-exception,20131231,2
240-exception,20140101,2
240-exception,20140102,2
240-exception,20140103,2
7974-exception,20131205,2
7974-exception,20131206,2
7974-exception,20131207,2
7974-exception,20131208,2
7974-exception,20131209,2
7974-exception,20131210,2
7974-exception,20131211,2
7974-exception,20131212,2
7974-exception,20131213,2
7974-exception,20131214,2
7974-exception,20131215,2
7974-exception,20131216,2
7974-exception,20131217,2
7974-exception,20131218,2
7974-exception,20131219,2
7974-exception,20131220,2
7974-exception,20131221,2
7974-exception,20131222,2
7974-exception,20131223,2
7974-exception,20131224,2
7974-exception,20131225,2
7974-exception,20131226,2
