route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
83,83,Unicity - Strauss Dr - Murray Industrial Park,3,http://www.winnipegtransit.com/routes/83,FFFFFF,000000
84,84,Whyte Ridge,3,http://www.winnipegtransit.com/routes/84,FFFFFF,000000
85,85,Kildonan Place - North Kildonan,3,http://www.winnipegtransit.com/routes/85,FFFFFF,000000
86,86,Whyte Ridge,3,http://www.winnipegtransit.com/routes/86,FFFFFF,000000
87,87,South Transcona - Crossroads Station,3,http://www.winnipegtransit.com/routes/87,FFFFFF,000000
88,88,Inkster Industrial Park - Scotia,3,http://www.winnipegtransit.com/routes/88,FFFFFF,000000
89,89,North Transcona - Kildonan Place,3,http://www.winnipegtransit.com/routes/89,FFFFFF,000000
90,90,Kildonan Place - Whellams Lane,3,http://www.winnipegtransit.com/routes/90,FFFFFF,000000
91,91,St. Norbert,3,http://www.winnipegtransit.com/routes/91,FFFFFF,000000
92,92,Crossroads Station - Lakeside Meadows,3,http://www.winnipegtransit.com/routes/92,FFFFFF,000000
93,93,South St. Vital - St. Vital Centre,3,http://www.winnipegtransit.com/routes/93,FFFFFF,000000
94,94,Kenaston - Fort Garry,3,http://www.winnipegtransit.com/routes/94,FFFFFF,000000
95,95,Tuxedo - Riverview,3,http://www.winnipegtransit.com/routes/95,FFFFFF,000000
96,96,St. Vital Centre - Windsor Park,3,http://www.winnipegtransit.com/routes/96,FFFFFF,000000
97,97,Inkster Industrial Park - Point Douglas,3,http://www.winnipegtransit.com/routes/97,FFFFFF,000000
98,98,Westdale - Grace Hospital,3,http://www.winnipegtransit.com/routes/98,FFFFFF,000000
99,99,Downtown - Misericordia Health Centre - Windermere & Pembina,3,http://www.winnipegtransit.com/routes/99,FFFFFF,000000
